Subj01,Subj02,Subj03,Gen. Average,Remarks,YRGRAD,TE,REGION/PROVINCE/CITY,SEX,# OF TAKES CORREL 1,# OF TAKES CORREL 2,# OF TAKES CORREL 3,GRADE IN CORREL 1,GRADE IN CORREL 2,GRADE IN CORREL 3
72,82,70,74.3,PASSED,722,2,0,1,3,1,1,2,1,1.5
64,53,52,56.5,FAILED,1221,2,1,0,2,2,1,1,1,1
46,50,41,45.45,FAILED,323,1,1,1,1,1,1,1,1,1
66,62,54,60.6,FAILED,421,2,1,1,,,2,,,1
60,62,39,53.25,FAILED,520,1,1,0,2,1,2,0.5,1,2.5
72,76,44,63.4,FAILED,623,1,0,1,1,1,1,2,1,1
75,88,76,79.25,PASSED,323,1,1,1,1,1,1,2,2.5,1
57,83,77,71.8,PASSED,922,2,0,1,4,1,1,1,1.5,1
64,48,44,52.2,FAILED,520,1,0,1,2,1,2,2,0.5,2
69,71,57,65.4,FAILED,723,1,0,0,1,2,3,1,1,1
71,87,74,76.85,PASSED,1221,1,1,0,2,2,2,1,1,1
62,48,59,56.75,FAILED,723,1,1,0,1,1,3,1.5,1,1
80,92,83,84.65,PASSED,1222,1,1,1,1,1,1,3,2.5,1
87,96,90,90.75,PASSED,1222,1,0,1,1,1,1,3,3.5,1
66,86,73,74.45,PASSED,520,1,0,1,2,2,1,1,2,0.5
75,70,59,67.9,FAILED,416,2,1,1,,,,,,
66,62,54,60.6,FAILED,819,2,0,1,,1,,,1,
69,80,65,70.9,PASSED,922,2,0,0,1,4,2,1,1,1.5
78,84,85,82.25,PASSED,323,1,0,1,1,1,2,2,2.5,1
72,84,73,75.95,PASSED,422,1,1,0,3,1,1,1,2,1
72,84,71,75.25,PASSED,522,1,1,1,3,1,2,1.5,1,1.5
76,87,75,78.95,PASSED,323,1,1,1,1,2,1,1,1,1
69,59,54,60.75,FAILED,323,1,1,1,,,1,,1,
64,81,73,72.25,PASSED,120,2,1,0,2,2,1,1,0.5,1.5
70,64,47,60.15,FAILED,520,1,1,1,1,3,,0.5,1,
76,80,75,76.85,PASSED,323,1,1,1,1,1,2,1.5,1,1
64,42,47,51.45,FAILED,323,1,1,0,1,1,2,2.5,1,1
72,84,71,75.25,PASSED,323,1,0,1,1,1,1,2.5,2.5,1
62,36,34,44.4,FAILED,520,1,1,1,2,4,,1,1,
62,62,60,61.3,FAILED,520,1,0,1,2,2,,1,1.5,
70,81,65,71.55,PASSED,723,1,0,1,1,1,2,1.5,1,1
80,86,72,79,PASSED,323,1,0,1,3,3,2,1,1,1
43,80,71,63.9,FAILED,422,1,0,0,1,1,1,1,1.5,1.5
56,50,46,50.7,FAILED,819,2,1,1,2,4,,1,1,
81,92,79,83.6,PASSED,323,1,1,1,1,1,2,2.5,2.5,1
72,80,37,62.15,FAILED,819,2,0,0,1,4,,0.5,1.5,
42,72,41,50.65,FAILED,1221,2,0,0,,,1,,,1
64,86,74,74.1,PASSED,722,1,0,0,2,1,1,2,2,1
57,75,50,59.95,FAILED,721,2,0,1,1,1,3,0.5,1,1
62,53,39,51.25,FAILED,422,2,1,1,2,2,3,1,1,1
71,89,73,77.1,PASSED,722,2,0,0,,4,2,,1.5,1
76,87,77,79.65,PASSED,1222,1,0,0,1,1,1,2,2.5,1
62,81,60,67,FAILED,922,1,1,0,1,1,2,1,2,1
60,72,65,65.35,FAILED,323,1,0,1,,4,2,,1,1
74,88,81,80.65,PASSED,323,1,0,1,1,1,2,3,3,1
46,62,33,46.25,FAILED,323,1,1,0,1,2,2,1.5,1,1
